competitor_name,event,species,diameter,actual_time,predicted_time,error,abs_error,confidence,std_dev
Matt Slingerland,UH,S01,320,21,21.894848998318473,0.8948489983184729,0.8948489983184729,MEDIUM,3.9715656022950614
Arden Cogar Jr,SB,S10,300,20,18.751979409659185,-1.2480205903408148,1.2480205903408148,LOW,2.237761327214267
Cole Schlenker,UH,S05,330,64,36.729784567203936,-27.270215432796064,27.270215432796064,LOW,6.0
Walt Page,SB,S01,300,19,19.841077003232208,0.8410770032322077,0.8410770032322077,MEDIUM,3.684171891978477
Mark Bouquin,SB,S10,300,22,19.804633658517353,-2.1953663414826465,2.1953663414826465,LOW,2.699206232527312
Mike Forrester,UH,S01,320,34,24.489854539757346,-9.510145460242654,9.510145460242654,LOW,6.0
Matt Cogar,UH,S01,320,13,20.32004089315896,7.320040893158961,7.320040893158961,MEDIUM,3.3649042549768473
Jason Lentz,SB,S01,300,20,18.87754736007708,-1.122452639922919,1.122452639922919,MEDIUM,2.760434748368452
Walt Page,SB,S01,300,17,20.00722286180258,3.0072228618025783,3.0072228618025783,MEDIUM,3.630133002060423
Matt Cogar,UH,S01,320,14,20.144675625507972,6.144675625507972,6.144675625507972,MEDIUM,3.4036665871614304
Kailee Curtis,UH,S08,304,59,31.06226181273491,-27.93773818726509,27.93773818726509,LOW,6.0
Collin Shephard,UH,S10,270,35,34.556493461644855,-0.44350653835514464,0.44350653835514464,LOW,3.0
Matt Slingerland,UH,S01,320,22,21.878717463579886,-0.12128253642011444,0.12128253642011444,MEDIUM,3.9635842365212826
Cody Labahn,UH,S01,330,31,19.01953024246353,-11.980469757536468,11.980469757536468,LOW,6.0
Mike Forrester,UH,S01,320,30,24.585226097207688,-5.414773902792312,5.414773902792312,LOW,6.0
Jason Lentz,UH,S01,320,32,22.39395193127355,-9.606048068726452,9.606048068726452,MEDIUM,3.70965476311994
Mike Forrester,SB,S01,300,24,21.16560429095854,-2.834395709041459,2.834395709041459,LOW,6.0
Angus Nicholson,UH,S05,279,28,32.95691154239431,4.956911542394309,4.956911542394309,LOW,6.0
Trevor Beaudry,UH,S01,320,20,22.483079974918088,2.4830799749180876,2.4830799749180876,LOW,3.0
Adam LaSalle,UH,S01,320,35,23.83415067312684,-11.165849326873161,11.165849326873161,LOW,6.0
Cody Labahn,UH,S06,355,44,43.984265272035564,-0.015734727964435535,0.015734727964435535,LOW,6.0
Matt Slingerland,SB,S01,300,25,20.431731513308165,-4.568268486691835,4.568268486691835,MEDIUM,3.8680147959306543
Kailee Curtis,UH,S05,279,68,32.5202748938878,-35.4797251061122,35.4797251061122,LOW,6.0
Erin LaVoie,SB,S06,254,53,21.451811368485828,-31.548188631514172,31.548188631514172,LOW,6.0
Cody Labahn,SB,S04,304,23,35.9717644229726,12.971764422972598,12.971764422972598,LOW,6.0
Arden Cogar Jr,SB,S01,300,19,20.44001415992343,1.4400141599234288,1.4400141599234288,MEDIUM,2.25168287233699
Kailee Curtis,UH,S05,279,61,32.421474933728746,-28.578525066271254,28.578525066271254,LOW,6.0
Jason Lentz,UH,S01,320,16,22.83532020100539,6.835320201005391,6.835320201005391,MEDIUM,4.118438837901865
Matt Cogar,SB,S01,300,19,18.3059452063037,-0.6940547936962993,0.6940547936962993,MEDIUM,2.700059736495688
Tristan VanBeek,UH,S01,300,24,19.48987716080888,-4.510122839191119,4.510122839191119,LOW,1.5
Jason Lentz,SB,S01,300,17,18.86935113884992,1.8693511388499218,1.8693511388499218,MEDIUM,2.8010986855435576
Cole Schlenker,UH,S05,330,33,38.252883503864346,5.252883503864346,5.252883503864346,LOW,6.0
David Moses Jr.,SB,S01,300,25,21.392555019016772,-3.607444980983228,3.607444980983228,LOW,4.022810775558268
Jeff Skirvin,UH,S01,320,23,24.46691977501467,1.46691977501467,1.46691977501467,LOW,6.0
Matt Cogar,UH,S10,320,13,20.207789623891305,7.207789623891305,7.207789623891305,LOW,3.3649042549768478
Kate Page,SB,S01,250,58,40.866205957731665,-17.133794042268335,17.133794042268335,LOW,6.0
Arden Cogar Jr,SB,S01,300,20,20.429471379739272,0.4294713797392724,0.4294713797392724,MEDIUM,2.237761327214267
Alexandria Miller,SB,S01,250,68,42.245429679184326,-25.754570320815674,25.754570320815674,LOW,6.0
Anita Jezowski,SB,S04,254,130,31.372222215889124,-98.62777778411088,98.62777778411088,LOW,3.0
Matt Cogar,UH,S01,320,19,20.066366071148636,1.0663660711486358,1.0663660711486358,MEDIUM,3.444490692255135
Brian Bartow,SB,S01,300,29,21.00253480017897,-7.997465199821029,7.997465199821029,LOW,2.5166114784235836
Adam LaSalle,SB,S01,300,35,21.348018633036048,-13.651981366963952,13.651981366963952,LOW,3.9962103260085007
